,WIN1!_open,WIN1!_high,WIN1!_low,WIN1!_close,WIN1!_target(%),WIN1!_target($),WIN1!_target(bi),f9,f1,f2,f3,f4,f5,f6,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,last_update
2005-03-18,28200.0,28259.0,27600.0,28259.0,-0.00014466546112112955,-4.0,0,0.017462374882984077,,,,0.017462374882984077,0.006417653176061577,-0.014589886112409078,,,,,-0.003444454343583603,-0.002223437427803032,,,,,0.0,-0.019245029838624195,0.0018041601811236152,-0.018394021089990775,0.0,-0.006846297237756316,0.0,,1.023876811594203,,,,,2025-06-23 21:45:06.610580
2005-03-21,27650.0,27650.0,27140.0,27646.0,0.004735883424408005,130.0,1,-0.02169220425351215,,,,-0.02169220425351215,-0.01103225252554163,-0.029675517259533546,,,,,-0.0043341398056057304,-0.0064154794299177255,,,,,0.017462374882984077,0.0,-0.019245029838624195,-0.017243776943401512,-0.018394021089990775,0.0,-0.006846297237756316,0.020228215767634783,1.0187914517317613,,,,,2025-06-23 21:45:06.610580
2005-03-22,27450.0,27960.0,26480.0,27580.0,0.03489681050656657,930.0,1,-0.0023873254720393478,,,,-0.0023873254720393478,-0.008149144447720968,-0.025407258207003736,,,,,-0.005172436936238323,-0.00665421197712166,,,,,-0.02169220425351215,0.017462374882984077,0.0,0.0018041601811236152,-0.017243776943401512,-0.018394021089990775,0.0,0.0,1.055891238670695,,,,,2025-06-23 21:45:06.610580
2005-03-23,26650.0,27580.0,26100.0,27580.0,-0.012030075187969946,-320.0,0,0.0,,,,0.0,-0.006763229351983258,-0.01943704736069285,,,,,-0.0013234309685134838,-0.005969582253346028,,,,,-0.0023873254720393478,-0.02169220425351215,0.017462374882984077,-0.019245029838624195,0.0018041601811236152,-0.017243776943401512,-0.018394021089990775,-0.006846297237756316,1.0567049808429119,,,,,2025-06-23 21:45:06.610580
2005-03-24,26600.0,26600.0,26280.0,26280.0,-0.0019439252336448387,-52.0,0,-0.047135605511240075,,,,-0.047135605511240075,-0.04328515781426334,-0.055505240005175316,,,,,-0.010750552070761499,-0.010683142804470035,,,,,0.0,-0.0023873254720393478,-0.02169220425351215,0.0,-0.019245029838624195,0.0018041601811236152,-0.017243776943401512,0.0,1.0121765601217656,,,,,2025-06-23 21:45:06.610580
2005-04-01,26750.0,27250.0,26680.0,26698.0,-0.02152280437240861,-571.0,0,0.01590563165905623,,,,0.01590563165905623,-0.01689447946738931,-0.03330460789780498,,,,,-0.011061900715547069,-0.007253177529565336,,,,,-0.047135605511240075,0.0,-0.0023873254720393478,0.017462374882984077,0.0,-0.019245029838624195,0.0018041601811236152,-0.018394021089990775,1.0213643178410794,,,,,2025-06-23 21:45:06.610580
2005-04-05,26530.0,26700.0,25900.0,25959.0,-0.019946401225114818,-521.0,0,-0.027679976028166853,,,,-0.027679976028166853,-0.0320812546141972,-0.05213806600966164,,,,,-0.01225945507047801,-0.00829679743804187,,,,,0.01590563165905623,-0.047135605511240075,0.0,-0.02169220425351215,0.017462374882984077,0.0,-0.019245029838624195,-0.017243776943401512,1.0308880308880308,,,,,2025-06-23 21:45:06.610580
2005-04-06,26120.0,26200.0,25500.0,25599.0,0.023118908382066206,593.0,1,-0.01386802265110365,,,,-0.01386802265110365,-0.03119228556722886,-0.05590653109544941,,,,,-0.01455559450629087,-0.009864015721264597,,,,,-0.027679976028166853,0.01590563165905623,-0.047135605511240075,-0.0023873254720393478,-0.02169220425351215,0.017462374882984077,0.0,0.0018041601811236152,1.0274509803921568,,,,,2025-06-23 21:45:06.610580
2005-04-07,25650.0,26270.0,25650.0,26243.0,-0.0002666666666666373,-7.0,0,0.02515723270440251,,,,0.02515723270440251,0.003333868587464428,-0.02665994110185521,,,,,-0.009524147965410368,-0.005423789466961926,,,,,-0.01386802265110365,-0.027679976028166853,0.01590563165905623,0.0,-0.0023873254720393478,-0.02169220425351215,0.017462374882984077,-0.019245029838624195,1.0241715399610136,,,,,2025-06-23 21:45:06.610580
2005-04-08,26250.0,26250.0,25850.0,26243.0,0.0024786986831912827,64.0,1,0.0,,,,0.0,0.003617812179712576,-0.021101358887226973,-0.055194933773999866,,,,-9.702686316235277e-05,-0.005423789466961926,,,,,0.02515723270440251,-0.01386802265110365,-0.027679976028166853,-0.047135605511240075,0.0,-0.0023873254720393478,-0.02169220425351215,0.0,1.0154738878143132,,,,,2025-06-23 21:45:06.610580
2005-04-11,25820.0,25940.0,25700.0,25884.0,0.0071595330739300245,184.0,1,-0.01367983843310594,,,,-0.01367983843310594,-0.003909857767378844,-0.02586258806527375,-0.06299888141961962,,,,-0.006014120881594786,-0.008538010798570927,-0.00538072411318698,,,,0.0,0.02515723270440251,-0.01386802265110365,0.01590563165905623,-0.047135605511240075,0.0,-0.0023873254720393478,0.017462374882984077,1.0093385214007782,,0.0003116205344337656,,0.01765277696097035,2025-06-23 21:45:06.610580
2005-04-12,25700.0,26300.0,25650.0,25884.0,-0.004519559437903498,-119.0,0,0.0,,,,0.0,-0.003334539825803007,-0.019359727221064604,-0.05681725014347794,,,,-0.0004781256759614161,-0.006368790373219713,-0.006392134901568719,,,,-0.01367983843310594,0.0,0.02515723270440251,-0.027679976028166853,0.01590563165905623,-0.047135605511240075,0.0,-0.02169220425351215,1.0253411306042886,,0.0002775508162498493,,0.016659856429448883,2025-06-23 21:45:06.610580
2005-04-13,26330.0,26430.0,26200.0,26211.0,-0.03977272727272729,-1050.0,0,0.012633286972647095,0.2738,,,0.012633286972647095,0.004522285670486292,-0.0017937322197720817,-0.039135144646617936,,,,0.004822136248788733,-0.004866729128751068,-0.005760470552936364,,,,0.0,-0.01367983843310594,0.0,-0.01386802265110365,-0.027679976028166853,0.01590563165905623,-0.047135605511240075,-0.0023873254720393478,1.0087786259541984,,0.00029403120003434265,,0.017147337986822987,2025-06-23 21:45:06.610580
2005-04-14,26400.0,26400.0,25250.0,25350.0,-0.019372549019607832,-494.0,0,-0.03284880393727829,0.2757,,,-0.03284880393727829,-0.02177939678325569,-0.02631447545813148,-0.06391589644361895,,,,-0.006779071079547427,-0.008151609522478898,-0.007060595887912463,,,,0.012633286972647095,0.0,-0.01367983843310594,0.02515723270440251,-0.01386802265110365,-0.027679976028166853,0.01590563165905623,0.0,1.0455445544554456,,0.0003308097404669138,,0.018188175842203468,2025-06-23 21:45:06.610580
2005-04-15,25500.0,25500.0,25006.0,25006.0,0.005872888173773072,146.0,1,-0.013570019723865845,0.2755,,,-0.013570019723865845,-0.025752912299840225,-0.03480432458303906,-0.06923421939585461,,,,-0.009493075024320596,-0.004795050943741474,-0.007739096874105756,,,,-0.03284880393727829,0.012633286972647095,0.0,0.0,0.02515723270440251,-0.01386802265110365,-0.027679976028166853,-0.047135605511240075,1.0197552587379028,,0.00032993149376261727,,0.018164016454590027,2025-06-23 21:45:06.610580
2005-04-18,24860.0,25330.0,24750.0,25006.0,0.022055335968379497,558.0,1,0.0,0.2766,,,0.0,-0.019041716029719935,-0.02845931192571438,-0.06267863401322815,,,,-0.006757107337699408,-0.006385614109647097,-0.006819395819606217,,,,-0.013570019723865845,-0.03284880393727829,0.012633286972647095,-0.01367983843310594,0.0,0.02515723270440251,-0.01386802265110365,0.01590563165905623,1.0234343434343434,,0.00032621829427775356,,0.018061514174557834,2025-06-23 21:45:06.610580
2005-04-19,25300.0,25858.0,25300.0,25858.0,-0.025911708253358978,-675.0,0,0.03407182276253695,0.3092,1.095832151970513,,0.03407182276253695,0.014588286994530408,0.005037235117613115,-0.026344574915325825,,,,5.725721480798196e-05,-0.00021043423057671707,-0.004253615834309293,,,,0.0,-0.013570019723865845,-0.03284880393727829,0.0,-0.01367983843310594,0.0,0.02515723270440251,-0.027679976028166853,1.0220553359683795,,0.0004015740572598307,,0.020039312794101267,2025-06-23 21:45:06.610580
2005-04-20,26050.0,26100.0,25350.0,25375.0,-0.026764934057408873,-690.0,0,-0.018678938819707613,0.3093,1.0692802323169468,,-0.018678938819707613,0.0022117777163395136,-0.012876371275188703,-0.039206071838988055,,,,-0.0062051879436629594,-0.0006915258474371133,-0.0052777707843508544,,,,0.03407182276253695,0.0,-0.013570019723865845,0.012633286972647095,0.0,-0.01367983843310594,0.0,-0.01386802265110365,1.029585798816568,,0.000409490658614884,,0.020235875533687293,2025-06-23 21:45:06.610580
2005-04-22,25780.0,25840.0,25090.0,25090.0,0.013980198019801993,353.0,1,-0.011231527093596094,0.3072,1.0393828664230615,,-0.011231527093596094,-0.007005184628171124,-0.019565701602535346,-0.045145330859616584,,,,-0.0018817325749265201,-0.004330401827236974,-0.00487709564709945,,,,-0.018678938819707613,0.03407182276253695,0.0,-0.03284880393727829,0.012633286972647095,0.0,-0.01367983843310594,0.02515723270440251,1.0298923874053407,,0.00040091971531954027,,0.02002297968134464,2025-06-23 21:45:06.610580
2005-04-25,25250.0,25640.0,25200.0,25603.0,0.009430255402750554,240.0,1,0.020446392985253192,0.3186,1.047406141100664,,0.020446392985253192,0.008532127438313442,0.0029890271754671183,-0.02158003951436316,,,,0.004921549966897287,-0.0022857625287116545,-0.00385477599783679,,,,-0.011231527093596094,-0.018678938819707613,0.03407182276253695,-0.013570019723865845,-0.03284880393727829,0.012633286972647095,0.0,0.0,1.0174603174603174,,0.0004323192029646227,,0.020792287102784596,2025-06-23 21:45:06.610580
2005-04-26,25450.0,25940.0,25400.0,25690.0,0.005254901960784375,134.0,1,0.0033980392922703384,0.3151,1.0103244837758112,,0.0033980392922703384,0.006535230692076288,0.007162655396690365,-0.013412444674865798,,,,0.005601157825351355,-0.0005779747561740267,-0.0045579927773724774,,,,0.020446392985253192,-0.011231527093596094,-0.018678938819707613,0.0,-0.013570019723865845,-0.03284880393727829,0.012633286972647095,-0.01367983843310594,1.021259842519685,,0.0004106503677633763,,0.020264510054856404,2025-06-23 21:45:06.610580
2005-04-27,25500.0,25690.0,25500.0,25634.0,-0.03090196078431373,-788.0,0,-0.0021798365122616126,0.3149,1.006006006006006,,-0.0021798365122616126,0.0061071338859581825,0.005953151795559997,-0.011745021425556113,,,,-0.0016491740296083579,-0.000795958407400188,-0.0035823743903099503,,,,0.0033980392922703384,0.020446392985253192,-0.011231527093596094,0.03407182276253695,0.0,-0.013570019723865845,-0.03284880393727829,0.0,1.007450980392157,,0.0003944944624775195,,0.019861884665799454,2025-06-23 21:45:06.610580
2005-04-28,25500.0,25500.0,24712.0,24712.0,0.0021730382293763117,54.0,1,-0.035967855192322706,0.3242,1.0259493670886075,,-0.035967855192322706,-0.02500611541162634,-0.024490375961219724,-0.041994165592502464,,,,-0.005106957304131377,-0.005656072623897168,-0.005261400876324119,,,,-0.0021798365122616126,0.0033980392922703384,0.020446392985253192,-0.018678938819707613,0.03407182276253695,0.0,-0.013570019723865845,0.012633286972647095,1.031887342181936,,0.0004466528112167687,,0.021134162183932645,2025-06-23 21:45:06.610580
2005-04-29,24850.0,25010.0,24400.0,24904.0,-0.0010395841663334293,-26.0,0,0.0077695046940757795,0.3222,1.0100313479623821,,0.0077695046940757795,-0.01598666066080301,-0.01517727916228373,-0.02951703820321927,,,,-0.0013067509465970017,-0.001594241760761761,-0.004872925641620329,,,,-0.035967855192322706,-0.0021798365122616126,0.0033980392922703384,-0.011231527093596094,-0.018678938819707613,0.03407182276253695,0.0,-0.03284880393727829,1.025,,0.00045397406914538625,,0.02130666724631955,2025-06-23 21:45:06.610580
